"","clusters","features","pvalues","logFC","pct.1","pct.2","pvalues.adj","datasets","key"
"HKG-2","CellType1","HKG-2",0.353088128551384,0.0135733016611193,1,1,1,"Co","CellType1.HKG-2"
"HKG-391","CellType2","HKG-39",0.35614146108804,0.0204282774739326,1,1,1,"Co","CellType2.HKG-39"
"HKG-11","CellType1","HKG-11",0.362983620275052,0.00573144275550952,1,1,1,"Co","CellType1.HKG-11"
"HKG-310","CellType2","HKG-3",0.401588828973617,0.015535165451892,1,1,1,"Co","CellType2.HKG-3"
"g8","CellType2","g8",0.423030470168284,0.0511838982972739,0.672,0.666,1,"Co","CellType2.g8"
"HKG-161","CellType2","HKG-16",0.426779556133905,0.0112480451467158,1,1,1,"Co","CellType2.HKG-16"
"HKG-28","CellType1","HKG-28",0.441924512053483,0.00322733464325786,1,1,1,"Co","CellType1.HKG-28"
"HKG-311","CellType2","HKG-31",0.445231585674503,0.00405427494573551,1,1,1,"Co","CellType2.HKG-31"
"HKG-421","CellType2","HKG-42",0.483304725834548,0.00822240067545277,1,1,1,"Co","CellType2.HKG-42"
"HKG-7","CellType1","HKG-7",0.524068812146845,0.00646571804915208,1,1,1,"Co","CellType1.HKG-7"
"HKG-241","CellType2","HKG-24",0.526711842988117,0.0122004198507142,1,1,1,"Co","CellType2.HKG-24"
"HKG-281","CellType2","HKG-28",0.570481661190007,0.00675014148578423,1,1,1,"Co","CellType2.HKG-28"
"HKG-19","CellType1","HKG-19",0.583327792575467,0.00840979697907684,1,1,1,"Co","CellType1.HKG-19"
"HKG-44","CellType1","HKG-44",0.595225282072288,0.001933468077846,1,1,1,"Co","CellType1.HKG-44"
"HKG-181","CellType2","HKG-18",0.610260476785234,0.00636077575736937,1,1,1,"Co","CellType2.HKG-18"
"HKG-71","CellType2","HKG-7",0.61076902062562,0.00284401729420214,1,1,1,"Co","CellType2.HKG-7"
"HKG-37","CellType1","HKG-37",0.719512434211183,0.00853016963333886,1,1,1,"Co","CellType1.HKG-37"
"HKG-40","CellType1","HKG-40",0.748848111356037,0.00116835341418486,1,1,1,"Co","CellType1.HKG-40"
"HKG-461","CellType2","HKG-46",0.764549393529315,0.000432906824101131,1,1,1,"Co","CellType2.HKG-46"
"HKG-411","CellType2","HKG-41",0.774449236400616,0.00645875662076367,1,1,1,"Co","CellType2.HKG-41"
"HKG-13","CellType1","HKG-13",0.789947368577562,0.00787362073120956,1,1,1,"Co","CellType1.HKG-13"
"HKG-291","CellType2","HKG-29",0.793048764582105,0.00268080627941014,1,1,1,"Co","CellType2.HKG-29"
"HKG-43","CellType1","HKG-43",0.799705586396625,0.00764931612666775,1,1,1,"Co","CellType1.HKG-43"
"HKG-34","CellType1","HKG-34",0.811872969285018,0.00530002401856411,1,1,1,"Co","CellType1.HKG-34"
"HKG-49","CellType1","HKG-49",0.818378230217771,0.000931360990098717,1,1,1,"Co","CellType1.HKG-49"
"HKG-301","CellType2","HKG-30",0.820453637579163,0.000948514369818909,1,1,1,"Co","CellType2.HKG-30"
"HKG-01","CellType2","HKG-0",0.828853079780522,0.00532503033830967,1,1,1,"Co","CellType2.HKG-0"
"HKG-0","CellType1","HKG-0",0.848980549099148,0.00151270383701796,1,1,1,"Co","CellType1.HKG-0"
"HKG-111","CellType2","HKG-11",0.858141380701682,0.00388949825337548,1,1,1,"Co","CellType2.HKG-11"
"HKG-27","CellType1","HKG-27",0.873336319640788,0.000639995846218433,1,1,1,"Co","CellType1.HKG-27"
"HKG-361","CellType2","HKG-36",0.887474857056341,0.00167968028395471,1,1,1,"Co","CellType2.HKG-36"
"g9","CellType2","g9",0.898648354911218,0.013837474204345,0.408,0.412,1,"Co","CellType2.g9"
"g3","CellType1","g3",0.914164125224188,0.0144276228490274,0.805,0.807,1,"Co","CellType1.g3"
"HKG-351","CellType2","HKG-35",0.925366348807802,0.00237143131006956,1,1,1,"Co","CellType2.HKG-35"
"HKG-17","CellType1","HKG-17",0.948059780794607,0.00705049151959791,1,1,1,"Co","CellType1.HKG-17"
"HKG-22","CellType1","HKG-22",0.976341826102749,0.0073559417424347,1,1,1,"Co","CellType1.HKG-22"
